sample	fqs
SCT_2303510004_Y72M_mtMultiome	/data/cephfs-2/unmirrored/groups/ludwig/IGVF-aging/fastq/SCT_2303510004_Y72M_mtMultiome
SCT_2304513004_Y65F_mtMultiome	/data/cephfs-2/unmirrored/groups/ludwig/IGVF-aging/fastq/SCT_2304513004_Y65F_mtMultiome
SCT_2306520006_Y70F_mtMultiome	/data/cephfs-2/unmirrored/groups/ludwig/IGVF-aging/fastq/SCT_2306520006_Y70F_mtMultiome
SCT_2307511011_Y64F_mtMultiome	/data/cephfs-2/unmirrored/groups/ludwig/IGVF-aging/fastq/SCT_2307511011_Y64F_mtMultiome
SCT_2308401001_Y23F_mtMultiome	/data/cephfs-2/unmirrored/groups/ludwig/IGVF-aging/fastq/SCT_2308401001_Y23F_mtMultiome
SCT_2312507004_Y67M_mtMultiome	/data/cephfs-2/unmirrored/groups/ludwig/IGVF-aging/fastq/SCT_2312507004_Y67M_mtMultiome
SCT_2304506004_Y71M_mtMultiome	/data/cephfs-2/unmirrored/groups/ludwig/IGVF-aging/fastq/SCT_2304506004_Y71M_mtMultiome
SCT_231270501C_Y26F_mtMultiome	/data/cephfs-2/unmirrored/groups/ludwig/IGVF-aging/fastq/SCT_231270501C_Y26F_mtMultiome
hPBMC_2305510014_Multiome	/data/cephfs-1/work/groups/ludwig/scratch/IGVF/fastq/hPBMC_2305510014_Multiome
hPBMC_2308509010_Multiome	/data/cephfs-1/work/groups/ludwig/scratch/IGVF/fastq/hPBMC_2308509010_Multiome
hPBMC_2308915002_Multiome	/data/cephfs-1/work/groups/ludwig/scratch/IGVF/fastq/hPBMC_2308915002_Multiome
hPBMC_2312420003_Multiome	/data/cephfs-1/work/groups/ludwig/scratch/IGVF/fastq/hPBMC_2312420003_Multiome
hPBMC_2303522004_Multiome	/data/cephfs-1/work/groups/ludwig/scratch/IGVF/fastq/hPBMC_2303522004_Multiome
hPBMC_2306523004_Multiome	/data/cephfs-1/work/groups/ludwig/scratch/IGVF/fastq/hPBMC_2306523004_Multiome
hPBMC_2306820102_Multiome	/data/cephfs-1/work/groups/ludwig/scratch/IGVF/fastq/hPBMC_2306820102_Multiome
hPBMC_2307527004_Multiome	/data/cephfs-1/work/groups/ludwig/scratch/IGVF/fastq/hPBMC_2307527004_Multiome
hPBMC_2309512002_Multiome	/data/cephfs-1/work/groups/ludwig/scratch/IGVF/fastq/hPBMC_2309512002_Multiome
